X,Y,OBJECTID,FACILITY_SIZE,SPDES_ID,FACILITY_NAME,MOREINFO,FACILITY_NAME_LOWER
327714.0826,4739544.1789,868,Medium,NYA00E467,Gorham Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,gorham dairy
223028.973,4726692.5267,873,Medium,NYA00E476,Robbiehill Family Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,robbiehill family dairy
520270.5827,4737206.636,874,Medium,NYA00E477,"Young's Dairy Farm, LLC",https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,"young's dairy farm, llc"
562993.4481,4967895.4393,878,Medium,NYA00E483,Stargo Dairy Farm,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,stargo dairy farm
624022.307,4791389.4136,880,Medium,NYA00E486,Fullerton Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,fullerton dairy
639601.2049,4809803.9951,884,Medium,NYA00E490,Red Top Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,red top dairy
615118.15,4798680.2727,892,Large,NYA00E498,Ideal Dairy Farms,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,ideal dairy farms
535738.7126,4976718.257,905,Medium,NYA00E512,Adventure Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,adventure dairy
190584.9677,4720513.2926,906,Medium,NYA00E513,"Happy Hollow Dairy Farm, LLC",https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,"happy hollow dairy farm, llc"
255359.7794,4740456.4739,917,Large,NYA00E524,Marquart Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,marquart dairy
374928.1593,4788475.7333,919,Medium,NYA00E526,Ox-Cart Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,ox-cart dairy
